Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20200819,clip_0_0000,5,2020-08-19 00:00:00,16.2,99,0.0,16.1,169,0.6,0,0.0,0.006097437813878059,0.0034554813
20200819,clip_52_2334,115,2020-08-19 23:34:00,13.8,99,0.0,13.6,106,0.5,0,0.0,0.006983908358961344,0.003542373
20200819,clip_34_1531,115,2020-08-19 15:31:00,23.6,52,0.0,13.1,224,2.6,454,10.0,0.00827045552432537,0.0048477035
20200819,clip_20_0917,35,2020-08-19 09:17:00,19.4,83,0.0,16.5,226,1.7,646,10.0,0.00326781184412539,0.0018597706
20200819,clip_41_1847,115,2020-08-19 18:47:00,18.1,86,0.0,15.7,0,0.0,7,0.0,0.0070476410910487175,0.0038377955
20200820,clip_0_0000,5,2020-08-20 00:00:00,13.9,99,0.0,13.7,69,0.8,0,0.0,0.0070234728045761585,0.003585691
20200820,clip_49_2201,115,2020-08-20 22:01:00,18.9,96,0.0,18.2,186,1.8,0,0.0,0.002025768393650651,0.0011634425
20200820,clip_17_0755,5,2020-08-20 07:55:00,19.2,86,0.0,16.9,121,2.7,107,0.0,0.003472335170954466,0.0018030982
20200820,clip_12_0535,115,2020-08-20 05:35:00,16.0,100,0.0,16.0,103,1.7,56,0.0,0.006312573328614235,0.0035076803
20200820,clip_33_1450,26,2020-08-20 14:50:00,18.1,94,0.0,17.0,139,3.5,86,0.0,0.004267644137144089,0.0021254888
20200821,clip_0_0000,5,2020-08-21 00:00:00,16.5,99,0.0,16.4,137,1.2,0,0.0,0.0053243678994476795,0.0031441483
20200821,clip_34_1539,115,2020-08-21 15:39:00,25.7,38,0.0,10.2,212,6.9,426,9.5,0.0066087506711483,0.0038254391
20200821,clip_53_2351,115,2020-08-21 23:51:00,16.9,83,0.0,14.0,170,3.3,0,0.0,0.00755782425403595,0.0043701264
20200821,clip_24_1059,115,2020-08-21 10:59:00,19.5,92,0.0,18.2,139,5.7,98,0.0,0.0017551167402416468,0.00089934294
20200821,clip_39_1740,115,2020-08-21 17:40:00,21.9,58,0.0,13.3,214,4.0,49,0.0,0.0077861822210252285,0.004493691
20200822,clip_0_0000,5,2020-08-22 00:00:00,16.8,84,0.0,14.0,172,3.2,0,0.0,0.007712558843195438,0.004353226
20200822,clip_53_2344,115,2020-08-22 23:44:00,13.9,94,0.0,12.9,201,3.2,0,0.0,0.004682809580117464,0.0027703992
20200822,clip_33_1443,115,2020-08-22 14:43:00,20.9,61,0.0,13.0,232,4.8,553,9.5,0.010070678777992725,0.005574089
20200822,clip_34_1511,115,2020-08-22 15:11:00,17.0,79,0.0,13.4,245,7.1,59,0.0,0.006550234276801348,0.003760522
20200823,clip_0_0000,5,2020-08-23 00:00:00,13.8,94,0.0,12.9,199,3.4,0,0.0,0.005086792632937431,0.0032283356
20200823,clip_33_1433,115,2020-08-23 14:33:00,18.8,62,0.0,11.4,276,5.1,618,10.0,0.00716434046626091,0.003825459
20200823,clip_51_2240,115,2020-08-23 22:40:00,12.6,86,0.0,10.3,264,2.4,0,0.0,0.005688952747732401,0.0035605002
20200823,clip_39_1721,115,2020-08-23 17:21:00,15.6,76,0.0,11.4,268,4.5,169,10.0,0.009278204292058945,0.005146035
20200824,clip_0_0000,5,2020-08-24 00:00:00,13.3,63,0.0,6.4,285,3.9,0,0.0,0.005243181250989437,0.0032569198
20200824,clip_45_1938,115,2020-08-24 19:38:00,11.8,77,0.0,7.8,239,1.5,0,0.0,0.008231276646256447,0.00431978
20200824,clip_27_1142,115,2020-08-24 11:42:00,17.0,47,0.0,5.8,299,4.0,830,9.0,0.005205539986491203,0.0032109031
20200824,clip_11_0442,115,2020-08-24 04:42:00,10.5,75,0.0,6.2,260,1.5,18,0.0,0.00443149171769619,0.0027676232
20200825,clip_0_1216,5,2020-08-25 12:16:00,17.0,54,0.0,7.6,268,3.0,810,10.0,0.00568232499063015,0.0035286262
20200825,clip_25_2345,115,2020-08-25 23:45:00,14.1,87,0.2,11.9,121,4.6,0,0.0,0.005211958196014166,0.0030331619
20200825,clip_12_1748,5,2020-08-25 17:48:00,15.2,52,0.0,5.5,119,1.5,21,0.0,0.008408634923398495,0.004891807
