Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name
20210112,clip_26_1540,5,2021-01-12 15:40:00,0.9,69,0.0,-4.2,297,4.6,0,0.0,0.01,0.0053,CAE,feb_month,results_jan,0.01004089880734682,8.0,day,236.0839215214333,94.4073931876074,15,1,Tuesday,6,Late Afternoon
20210113,clip_0_0000,5,2021-01-13 00:00:00,2.4,70,0.0,-2.4,294,4.9,0,0.0,0.0051,0.0035,CAE,feb_month,results_jan,0.004142554011195898,0.0,night,12.360564094673464,143.97151520048342,0,2,Wednesday,1,Early Post-Midnight
20210113,clip_45_2345,115,2021-01-13 23:45:00,-0.9,78,0.0,-4.3,13,4.8,0,0.0,0.0013,0.0006,CAE,feb_month,results_jan,0.004057733807712793,0.0,night,6.2644434305216805,144.13860610681508,23,2,Wednesday,8,Late Evening
20210113,clip_14_0617,5,2021-01-13 06:17:00,-0.4,98,0.0,-0.7,0,0.0,0,0.0,0.002,0.0011,CAE,feb_month,results_jan,0.005664026830345392,2.0,night,111.63599580115192,101.61591151180457,6,2,Wednesday,3,Early Morning
20210113,clip_33_1811,5,2021-01-13 18:11:00,0.1,81,0.0,-2.8,20,4.5,0,0.0,0.0034,0.0017,CAE,feb_month,results_jan,0.005209964234381914,2.0,night,266.49307151630217,113.4152606116006,18,2,Wednesday,7,Early Evening
20210114,clip_0_0000,5,2021-01-14 00:00:00,-1.0,76,0.0,-4.7,22,5.7,0,0.0,0.0015,0.0007,CAE,feb_month,results_jan,0.004502364434301853,0.0,night,12.178327048260371,143.80991341939307,0,3,Thursday,1,Early Post-Midnight
20210114,clip_48_2351,115,2021-01-14 23:51:00,-3.8,90,0.0,-5.3,43,1.2,0,0.0,0.0019,0.0011,CAE,feb_month,results_jan,0.0018997224979102612,5.0,night,8.470473460416486,143.85958587228149,23,3,Thursday,8,Late Evening
20210114,clip_25_1330,115,2021-01-14 13:30:00,-2.3,87,0.0,-4.2,28,2.0,24,0.0,0.0021,0.0009,CAE,feb_month,results_jan,0.00702880322933197,4.0,day,208.18730429545963,82.12544259529422,13,3,Thursday,5,Early Afternoon
20210114,clip_45_2227,115,2021-01-14 22:27:00,-2.6,87,0.0,-4.4,17,1.3,0,0.0,0.0018,0.001,CAE,feb_month,results_jan,0.002049610950052738,5.0,night,335.71062477726156,142.28649270078762,22,3,Thursday,8,Late Evening
20210115,clip_0_0000,5,2021-01-15 00:00:00,-3.7,89,0.0,-5.2,40,1.0,0,0.0,0.0019,0.001,CAE,feb_month,results_jan,0.004753455054014921,0.0,night,12.000031937618417,143.64102180275685,0,4,Friday,1,Early Post-Midnight
20210115,clip_44_2319,115,2021-01-15 23:19:00,-10.0,93,0.0,-10.9,0,0.0,0,0.0,0.004,0.0024,CAE,feb_month,results_jan,0.005647892598062754,0.0,night,355.6585474914857,143.83487923076623,23,4,Friday,8,Late Evening
20210115,clip_33_1642,115,2021-01-15 16:42:00,-2.9,79,0.0,-6.0,346,2.1,0,0.0,0.0098,0.0061,CAE,feb_month,results_jan,0.006074368022382259,7.0,night,248.63428874979476,101.26441379874684,16,4,Friday,6,Late Afternoon
20210115,clip_36_1935,5,2021-01-15 19:35:00,-6.7,93,0.0,-7.6,10,1.4,0,0.0,0.0051,0.0032,CAE,feb_month,results_jan,0.0020822340156883,4.0,night,284.8826363812201,124.33068843970352,19,4,Friday,7,Early Evening
20210116,clip_0_0000,5,2021-01-16 00:00:00,-9.3,94,0.0,-10.1,0,0.0,0,0.0,0.0044,0.0027,CAE,feb_month,results_jan,0.00034410174703225493,0.0,night,11.825884552684215,143.46492378128073,0,5,Saturday,1,Early Post-Midnight
20210116,clip_45_2335,115,2021-01-16 23:35:00,-8.6,94,0.0,-9.5,103,0.7,0,0.0,0.0028,0.0014,CAE,feb_month,results_jan,0.0011608469067141414,0.0,night,1.8523429942032408,143.68513015898571,23,5,Saturday,8,Late Evening
20210116,clip_20_1228,36,2021-01-16 12:28:00,-2.0,82,0.0,-4.8,206,0.4,190,10.0,0.0099,0.0052,CAE,feb_month,results_jan,0.021403880789875984,19.0,day,193.7635326276944,78.74714192860782,12,5,Saturday,5,Early Afternoon
