Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name,precision,recall,accuracy,f1_score
20200815,clip_0_0000,5,15/08/2020 00:00,16.1,96,0,15.4,273,1,0,0,YOLOv5,feb_month,jan_apr_aug,0.002667285,8,night,9.01311705,108.6078622,0,5,Saturday,1,Early Post-Midnight,0.571428571,0.5,0.363636364,0.533333333
20200815,clip_19_0837,5,15/08/2020 08:37,19.4,77,0.3,15.2,230,1.1,584,10,YOLOv5,feb_month,jan_apr_aug,0.000788555,5,day,126.2566304,53.54887711,8,5,Saturday,3,Early Morning,1,1,1,1
20200815,clip_30_1344,115,15/08/2020 13:44,26.8,47,0,14.7,221,1.6,658,10,YOLOv5,feb_month,jan_apr_aug,0.009515882,12,day,225.8048971,50.66269898,13,5,Saturday,5,Early Afternoon,0.75,0.25,0.230769231,0.375
20200815,clip_41_1839,5,15/08/2020 18:39,19.1,81,0,15.7,319,0.9,24,0,YOLOv5,feb_month,jan_apr_aug,0.002986317,7,day,292.8989011,87.95081926,18,5,Saturday,7,Early Evening,0.666666667,0.285714286,0.25,0.4
20200815,clip_53_2349,115,15/08/2020 23:49,11.9,98,0,11.6,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.002937843,8,night,6.274792361,109.1147754,23,5,Saturday,8,Late Evening,0.375,0.375,0.230769231,0.375
20200816,clip_0_0000,5,16/08/2020 00:00,12,99,0,11.7,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.009887998,18,night,9.093946288,108.9171501,0,6,Sunday,1,Early Post-Midnight,0.6,0.666666667,0.461538462,0.631578947
20200816,clip_12_0509,115,16/08/2020 05:09,13.6,100,0,13.6,0,0,68,0,YOLOv5,feb_month,jan_apr_aug,0.003750298,2,night,79.30918372,80.62594589,5,6,Sunday,2,Late Post-Midnight,,0,0,0
20200816,clip_22_0949,5,16/08/2020 09:49,26.5,47,0,14.2,137,1.4,665,10,YOLOv5,feb_month,jan_apr_aug,0.004358717,5,day,147.5446071,47.15359988,9,6,Sunday,4,Late Morning,,0,0,0
20200816,clip_34_1523,115,16/08/2020 15:23,27.6,39,0,12.6,132,4.3,448,10,YOLOv5,feb_month,jan_apr_aug,0.00675289,10,day,251.1779403,62.41441516,15,6,Sunday,6,Late Afternoon,,0,0,0
20200817,clip_0_0941,5,17/08/2020 09:41,27.3,44,0,13.8,124,3.9,676,10,YOLOv5,feb_month,jan_apr_aug,0.00649524,5,day,145.2391895,48.04175274,9,0,Monday,4,Late Morning,0.5,1,0.5,0.666666667
20200817,clip_12_1504,36,17/08/2020 15:04,28.1,34,0,10.7,124,3.6,511,10,YOLOv5,feb_month,jan_apr_aug,0.011771727,9,day,246.5456403,60.30471199,15,0,Monday,6,Late Afternoon,1,0.222222222,0.222222222,0.363636364
20200817,clip_19_1812,115,17/08/2020 18:12,24,52,0,13.6,107,2,67,10,YOLOv5,feb_month,jan_apr_aug,0.007448825,12,day,287.0570844,85.21998632,18,0,Monday,7,Early Evening,0.75,0.25,0.230769231,0.375
20200817,clip_23_2004,115,17/08/2020 20:04,19.1,70,0,13.5,106,0.6,0,0,YOLOv5,feb_month,jan_apr_aug,0.01127178,21,day,310.9427374,98.65774359,20,0,Monday,7,Early Evening,0.866666667,0.619047619,0.565217391,0.722222222
20200818,clip_0_0000,5,18/08/2020 00:00,14.6,88,0,12.7,105,1,0,0,YOLOv5,feb_month,jan_apr_aug,0.004431941,5,night,9.264448271,109.5457471,0,1,Tuesday,1,Early Post-Midnight,,0,0,0
20200818,clip_13_1547,5,18/08/2020 15:47,21.9,75,0,17.2,254,0.8,198,0,YOLOv5,feb_month,jan_apr_aug,0.011458972,9,day,256.3670637,66.14843849,15,1,Tuesday,6,Late Afternoon,0.5,0.555555556,0.357142857,0.526315789
