Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,SSIM,MSE_moving_bkgrnd
20210404,clip_14_0609,5,2021-04-04 06:09:00,5.0,90,0.0,3.6,269,4.6,98,4.0,0.0057,0.0031
20210405,clip_0_0000,5,2021-04-05 00:00:00,3.6,70,0.0,-1.4,277,7.8,0,0.0,0.0041,0.0021
20210405,clip_8_0344,115,2021-04-05 03:44:00,0.3,43,0.0,-10.9,297,8.4,0,0.0,0.0071,0.0042
20210405,clip_3_0124,58,2021-04-05 01:24:00,1.7,59,0.0,-5.3,312,6.1,0,0.0,0.0046,0.0024
20210405,clip_9_2314,115,2021-04-05 23:14:00,2.2,60,0.0,-4.7,309,5.7,0,0.0,0.0068,0.0037
20210406,clip_0_0000,5,2021-04-06 00:00:00,1.7,64,0.0,-4.3,307,4.5,0,0.0,0.0072,0.0039
20210406,clip_35_1512,115,2021-04-06 15:12:00,6.5,34,0.0,-8.2,305,6.7,460,10.0,0.0093,0.0052
20210406,clip_52_2338,115,2021-04-06 23:38:00,1.8,73,0.0,-2.5,279,2.6,0,0.0,0.0066,0.0035
20210406,clip_18_0758,5,2021-04-06 07:58:00,4.1,51,0.0,-5.1,307,6.3,451,10.0,0.0075,0.0041
20210407,clip_0_0000,5,2021-04-07 00:00:00,1.4,75,0.0,-2.6,289,2.9,0,0.0,0.0069,0.0037
20210407,clip_53_2357,115,2021-04-07 23:57:00,-0.6,97,0.0,-1.0,228,0.8,0,0.0,0.0068,0.0037
20210407,clip_23_1018,115,2021-04-07 10:18:00,8.5,38,0.0,-5.0,199,1.2,673,10.0,0.0073,0.0042
20210407,clip_36_1622,5,2021-04-07 16:22:00,3.5,80,0.0,0.5,77,2.4,99,0.0,0.0062,0.0033
20210408,clip_0_0000,5,2021-04-08 00:00:00,-0.6,97,0.0,-1.0,228,1.0,0,0.0,0.0067,0.0037
20210408,clip_52_2335,115,2021-04-08 23:35:00,5.9,86,0.0,3.7,225,7.4,0,0.0,0.0033,0.0014
20210408,clip_17_0740,115,2021-04-08 07:40:00,3.8,52,0.0,-5.1,299,6.6,302,10.0,0.0069,0.0038
20210408,clip_40_1824,115,2021-04-08 18:24:00,2.8,93,0.1,1.8,201,6.7,2,0.0,0.0049,0.0024
20210409,clip_0_0000,5,2021-04-09 00:00:00,5.8,85,0.0,3.4,223,8.5,0,0.0,0.0033,0.0014
20210409,clip_50_2346,115,2021-04-09 23:46:00,0.1,89,0.0,-1.5,233,2.7,0,0.0,0.0068,0.0039
20210409,clip_34_1636,115,2021-04-09 16:36:00,4.7,57,0.0,-3.2,269,7.7,226,10.0,0.0069,0.0036
20210409,clip_8_0344,115,2021-04-09 03:44:00,3.3,94,0.2,2.5,267,4.3,0,0.0,0.0032,0.0014
20210410,clip_0_0000,5,2021-04-10 00:00:00,0.0,91,0.0,-1.4,231,3.0,0,0.0,0.0066,0.0037
20210410,clip_30_1328,115,2021-04-10 13:28:00,7.1,49,0.0,-2.9,275,5.7,658,10.0,0.0074,0.004
20210410,clip_53_2334,115,2021-04-10 23:34:00,-0.4,92,0.0,-1.5,209,1.4,0,0.0,0.007,0.0037
20210410,clip_41_1817,115,2021-04-10 18:17:00,3.5,71,0.0,-1.2,273,2.5,9,0.0,0.0089,0.0045
20210411,clip_0_0000,5,2021-04-11 00:00:00,-0.4,93,0.0,-1.4,226,0.5,0,0.0,0.0069,0.0038
20210411,clip_53_2354,115,2021-04-11 23:54:00,1.5,98,0.0,1.3,278,2.7,0,0.0,0.0038,0.0018
20210411,clip_17_0756,5,2021-04-11 07:56:00,3.4,85,0.0,1.2,78,0.9,147,0.0,0.0041,0.002
20210412,clip_0_0000,5,2021-04-12 00:00:00,1.6,98,0.0,1.3,280,2.5,0,0.0,0.0039,0.0019
20210412,clip_32_1430,115,2021-04-12 14:30:00,6.5,59,0.0,-0.9,247,5.8,573,10.0,0.0064,0.0034
20210412,clip_53_2353,115,2021-04-12 23:53:00,1.1,94,0.0,0.2,205,2.9,0,0.0,0.0055,0.0031
20210413,clip_0_0000,5,2021-04-13 00:00:00,1.4,95,0.0,0.6,205,2.7,0,0.0,0.0061,0.0034
20210413,clip_53_2351,115,2021-04-13 23:51:00,-1.4,93,0.0,-2.5,73,0.9,0,0.0,0.0069,0.0037
20210413,clip_33_1449,115,2021-04-13 14:49:00,6.9,43,0.0,-4.7,329,3.6,523,10.0,0.011,0.0062
20210414,clip_0_0000,5,2021-04-14 00:00:00,-2.1,93,0.0,-3.2,0,0.0,0,0.0,0.0069,0.0037
20210414,clip_39_1732,115,2021-04-14 17:32:00,6.9,41,0.0,-5.3,354,1.8,97,10.0,0.0083,0.0047
20210414,clip_51_2300,115,2021-04-14 23:00:00,-1.7,87,0.0,-3.6,38,0.3,0,0.0,0.0072,0.0039
20210415,clip_0_0000,5,2021-04-15 00:00:00,-1.7,88,0.0,-3.4,0,0.0,0,0.0,0.0072,0.0039
20210415,clip_29_1329,115,2021-04-15 13:29:00,11.6,31,0.0,-4.9,38,2.8,740,10.0,0.0063,0.0035
20210415,clip_53_2352,115,2021-04-15 23:52:00,0.3,86,0.0,-1.8,10,0.8,0,0.0,0.0073,0.0039
20210416,clip_0_0000,5,2021-04-16 00:00:00,0.1,86,0.0,-1.9,352,0.8,0,0.0,0.007,0.0038
20210416,clip_54_2342,115,2021-04-16 23:42:00,4.6,80,0.0,1.3,40,0.3,0,0.0,0.006,0.0031
20210416,clip_22_0953,5,2021-04-16 09:53:00,11.4,34,0.0,-4.1,63,2.5,791,10.0,0.0078,0.0047
20210417,clip_0_0000,5,2021-04-17 00:00:00,5.2,76,0.0,1.3,0,0.0,0,0.0,0.0057,0.0029
20210417,clip_33_1437,115,2021-04-17 14:37:00,14.2,34,0.0,-1.5,46,3.0,463,8.5,0.0094,0.0053
20210417,clip_35_2317,115,2021-04-17 23:17:00,5.4,73,0.0,1.1,38,0.7,0,0.0,0.0062,0.0033
20210418,clip_0_0000,5,2021-04-18 00:00:00,6.4,68,0.0,0.9,57,0.5,0,0.0,0.0063,0.0034
20210418,clip_37_1623,115,2021-04-18 16:23:00,16.9,35,0.0,1.3,59,2.1,286,10.0,0.0118,0.0066
20210418,clip_53_2337,115,2021-04-18 23:37:00,7.0,67,0.0,1.3,81,0.8,0,0.0,0.0069,0.0037
20210419,clip_0_0000,5,2021-04-19 00:00:00,7.2,65,0.0,1.1,84,1.2,0,0.0,0.0066,0.0036
20210419,clip_53_2345,115,2021-04-19 23:45:00,4.3,73,0.0,-0.1,334,0.8,0,0.0,0.0075,0.0041
20210419,clip_36_1555,80,2021-04-19 15:55:00,16.2,24,0.0,-4.3,111,2.9,358,10.0,0.0129,0.0074
20210420,clip_0_0000,5,2021-04-20 00:00:00,4.0,75,0.0,0.0,346,0.5,0,0.0,0.0076,0.0042
20210420,clip_34_1506,115,2021-04-20 15:06:00,17.7,29,0.0,-0.4,331,3.2,473,10.0,0.0134,0.0077
20210420,clip_51_2351,115,2021-04-20 23:51:00,5.6,91,0.0,4.2,252,2.6,0,0.0,0.006,0.0032
20210421,clip_0_0000,5,2021-04-21 00:00:00,5.7,92,0.0,4.5,255,2.8,0,0.0,0.0062,0.0034
20210421,clip_32_1440,115,2021-04-21 14:40:00,10.3,47,0.0,-0.4,298,7.7,695,9.5,0.0093,0.0049
20210421,clip_53_2342,115,2021-04-21 23:42:00,5.4,59,0.0,-1.9,324,4.0,0,0.0,0.0076,0.0042
20210422,clip_0_0000,5,2021-04-22 00:00:00,5.6,59,0.0,-1.8,331,5.1,0,0.0,0.0073,0.004
20210422,clip_54_2348,115,2021-04-22 23:48:00,3.3,70,0.0,-1.7,334,2.5,0,0.0,0.0076,0.0042
20210422,clip_35_1526,115,2021-04-22 15:26:00,10.5,45,0.0,-1.1,311,4.7,469,10.0,0.0116,0.0066
20210423,clip_0_0000,5,2021-04-23 00:00:00,3.4,68,0.0,-2.0,332,2.8,0,0.0,0.0073,0.004
20210423,clip_55_2336,115,2021-04-23 23:36:00,2.7,70,0.0,-2.1,332,2.3,0,0.0,0.0075,0.0041
20210423,clip_30_1257,115,2021-04-23 12:57:00,9.7,40,0.0,-3.1,317,3.2,824,10.0,0.0075,0.0042
20210424,clip_0_0000,5,2021-04-24 00:00:00,2.6,70,0.0,-2.3,336,2.7,0,0.0,0.0073,0.0039
20210424,clip_53_2333,115,2021-04-24 23:33:00,-1.9,85,0.0,-4.2,0,0.0,0,0.0,0.008,0.0044
20210424,clip_36_1610,115,2021-04-24 16:10:00,8.0,32,0.0,-7.6,340,3.4,388,10.0,0.0134,0.0076
20210425,clip_0_0000,5,2021-04-25 00:00:00,-2.3,88,0.0,-4.1,0,0.0,0,0.0,0.0078,0.0043
20210425,clip_26_1201,115,2021-04-25 12:01:00,8.9,27,0.0,-8.9,0,4.7,825,10.0,0.0085,0.005
20210425,clip_51_2245,115,2021-04-25 22:45:00,-0.6,86,0.0,-2.7,246,1.8,0,0.0,0.0074,0.004
20210426,clip_0_0000,5,2021-04-26 00:00:00,1.7,82,0.0,-1.0,261,1.9,0,0.0,0.0074,0.0041
20210426,clip_54_2354,115,2021-04-26 23:54:00,-2.6,73,0.0,-6.7,0,0.0,0,0.0,0.0078,0.0043
20210426,clip_38_1650,115,2021-04-26 16:50:00,7.9,28,0.0,-9.6,334,2.5,295,10.0,0.0149,0.0087
