Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20210414,clip_39_1732,115,2021-04-14 17:32:00,6.9,41,0.0,-5.3,354,1.8,97,10.0,0.005367465317249298,0.0032531437
20210414,clip_51_2300,115,2021-04-14 23:00:00,-1.7,87,0.0,-3.6,38,0.3,0,0.0,0.0034815287217497826,0.0018374107
20210415,clip_0_0000,5,2021-04-15 00:00:00,-1.7,88,0.0,-3.4,0,0.0,0,0.0,0.0031126616522669792,0.0017034935
20210415,clip_29_1329,115,2021-04-15 13:29:00,11.6,31,0.0,-4.9,38,2.8,740,10.0,0.002487318590283394,0.0015370835
20210415,clip_53_2352,115,2021-04-15 23:52:00,0.3,86,0.0,-1.8,10,0.8,0,0.0,0.0032925214618444443,0.0018590805
20210416,clip_0_0000,5,2021-04-16 00:00:00,0.1,86,0.0,-1.9,352,0.8,0,0.0,0.003116910345852375,0.0017583242
20210416,clip_54_2342,115,2021-04-16 23:42:00,4.6,80,0.0,1.3,40,0.3,0,0.0,0.0035105899441987276,0.0018438118
20210416,clip_22_0953,5,2021-04-16 09:53:00,11.4,34,0.0,-4.1,63,2.5,791,10.0,0.005469528958201408,0.003557717
20210417,clip_0_0000,5,2021-04-17 00:00:00,5.2,76,0.0,1.3,0,0.0,0,0.0,0.002868057694286108,0.0013839953
20210417,clip_33_1437,115,2021-04-17 14:37:00,14.2,34,0.0,-1.5,46,3.0,463,8.5,0.0070231277495622635,0.0042737518
20210417,clip_35_2317,115,2021-04-17 23:17:00,5.4,73,0.0,1.1,38,0.7,0,0.0,0.0037070501130074263,0.0020633033
20210418,clip_0_0000,5,2021-04-18 00:00:00,6.4,68,0.0,0.9,57,0.5,0,0.0,0.0036263277288526297,0.0021094994
20210418,clip_37_1623,115,2021-04-18 16:23:00,16.9,35,0.0,1.3,59,2.1,286,10.0,0.009758822619915009,0.00550976
20210418,clip_53_2337,115,2021-04-18 23:37:00,7.0,67,0.0,1.3,81,0.8,0,0.0,0.004607309587299824,0.002498407
20210419,clip_0_0000,5,2021-04-19 00:00:00,7.2,65,0.0,1.1,84,1.2,0,0.0,0.004183321259915829,0.0023059328
20210419,clip_53_2345,115,2021-04-19 23:45:00,4.3,73,0.0,-0.1,334,0.8,0,0.0,0.004721100442111492,0.0025896472
20210419,clip_36_1555,80,2021-04-19 15:55:00,16.2,24,0.0,-4.3,111,2.9,358,10.0,0.011554401367902756,0.0065772785
20210420,clip_0_0000,5,2021-04-20 00:00:00,4.0,75,0.0,0.0,346,0.5,0,0.0,0.004723488353192806,0.0025721628
20210420,clip_34_1506,115,2021-04-20 15:06:00,17.7,29,0.0,-0.4,331,3.2,473,10.0,0.012660323642194271,0.007360625
20210420,clip_51_2351,115,2021-04-20 23:51:00,5.6,91,0.0,4.2,252,2.6,0,0.0,0.0043015689589083195,0.0022952335
20210421,clip_0_0000,5,2021-04-21 00:00:00,5.7,92,0.0,4.5,255,2.8,0,0.0,0.004183238372206688,0.0022630088
20210421,clip_32_1440,115,2021-04-21 14:40:00,10.3,47,0.0,-0.4,298,7.7,695,9.5,0.008276315405964851,0.004622353
20210421,clip_53_2342,115,2021-04-21 23:42:00,5.4,59,0.0,-1.9,324,4.0,0,0.0,0.0034393714740872383,0.0019961786
20210422,clip_0_0000,5,2021-04-22 00:00:00,5.6,59,0.0,-1.8,331,5.1,0,0.0,0.0029022833332419395,0.0017628777
20210422,clip_54_2348,115,2021-04-22 23:48:00,3.3,70,0.0,-1.7,334,2.5,0,0.0,0.003400449175387621,0.001960525
20210422,clip_35_1526,115,2021-04-22 15:26:00,10.5,45,0.0,-1.1,311,4.7,469,10.0,0.009709839709103107,0.005698393
20210423,clip_0_0000,5,2021-04-23 00:00:00,3.4,68,0.0,-2.0,332,2.8,0,0.0,0.003317934926599264,0.0019024572
20210423,clip_55_2336,115,2021-04-23 23:36:00,2.7,70,0.0,-2.1,332,2.3,0,0.0,0.0042077600955963135,0.0023349882
20210423,clip_30_1257,115,2021-04-23 12:57:00,9.7,40,0.0,-3.1,317,3.2,824,10.0,0.005112063605338335,0.0032123956
20210424,clip_0_0000,5,2021-04-24 00:00:00,2.6,70,0.0,-2.3,336,2.7,0,0.0,0.003430432640016079,0.0018417032
20210424,clip_53_2333,115,2021-04-24 23:33:00,-1.9,85,0.0,-4.2,0,0.0,0,0.0,0.0035101543180644512,0.0019479049
20210424,clip_36_1610,115,2021-04-24 16:10:00,8.0,32,0.0,-7.6,340,3.4,388,10.0,0.01252727024257183,0.0068508303
20210425,clip_0_0000,5,2021-04-25 00:00:00,-2.3,88,0.0,-4.1,0,0.0,0,0.0,0.0032904460094869137,0.0018639936
20210425,clip_26_1201,115,2021-04-25 12:01:00,8.9,27,0.0,-8.9,0,4.7,825,10.0,0.004900207743048668,0.0029958587
20210425,clip_51_2245,115,2021-04-25 22:45:00,-0.6,86,0.0,-2.7,246,1.8,0,0.0,0.0037716692313551903,0.0020816193
20210426,clip_0_0000,5,2021-04-26 00:00:00,1.7,82,0.0,-1.0,261,1.9,0,0.0,0.0031647193245589733,0.0018193442
20210426,clip_54_2354,115,2021-04-26 23:54:00,-2.6,73,0.0,-6.7,0,0.0,0,0.0,0.004238201770931482,0.002268319
20210426,clip_38_1650,115,2021-04-26 16:50:00,7.9,28,0.0,-9.6,334,2.5,295,10.0,0.013757842592895031,0.0076971254
20210427,clip_0_0000,5,2021-04-27 00:00:00,-2.6,73,0.0,-6.8,0,0.0,0,0.0,0.004230514168739319,0.0022064152
20210427,clip_37_1634,115,2021-04-27 16:34:00,9.8,42,0.0,-2.4,108,3.0,371,10.0,0.005162002518773079,0.0031147744
20210427,clip_53_2335,115,2021-04-27 23:35:00,-2.0,85,0.0,-4.2,0,0.0,0,0.0,0.003697584616020322,0.002044322
20210428,clip_0_0000,5,2021-04-28 00:00:00,-1.6,87,0.0,-3.4,0,0.0,0,0.0,0.003717327956110239,0.0020864785
20210428,clip_34_1615,115,2021-04-28 16:15:00,10.6,39,0.0,-2.6,96,2.4,363,10.0,0.011113910004496574,0.0061027887
20210428,clip_52_2357,115,2021-04-28 23:57:00,2.7,82,0.0,-0.2,0,0.0,0,0.0,0.002707347273826599,0.0015418397
20210429,clip_0_0000,5,2021-04-29 00:00:00,2.5,83,0.0,-0.1,0,0.0,0,0.0,0.002739713992923498,0.0015606419
20210429,clip_53_2352,115,2021-04-29 23:52:00,6.3,80,0.0,3.2,0,0.0,0,0.0,0.0019774651154875755,0.0011116308
20210429,clip_18_0819,23,2021-04-29 08:19:00,10.9,62,0.0,4.0,54,2.8,557,7.5,0.0023556232918053865,0.0014718939
20210430,clip_0_0000,5,2021-04-30 00:00:00,5.9,80,0.0,2.7,0,0.0,0,0.0,0.001943426439538598,0.0011413774
20210430,clip_53_2346,115,2021-04-30 23:46:00,-0.7,84,0.0,-3.1,104,0.3,0,0.0,0.003957435954362154,0.0020497525
20210430,clip_37_1632,115,2021-04-30 16:32:00,11.6,30,0.0,-5.4,39,1.6,353,6.5,0.0063827792182564735,0.0039165276
